"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Emerson Martinez","Rangers","0","0","5.63","0","0","0","1.0","1","1","0","1","0","1.57","5.35","3.64","5.58","0.0","0.0","sa747285"
"Tad Ratliff","Royals","0","0","5.52","0","1","0","1.0","1","1","0","1","1","1.65","6.91","5.33","5.58","0.0","0.0","sa3004683"
"Brad Mills","","0","0","5.54","0","0","0","1.0","1","1","0","1","0","1.55","6.10","3.82","5.58","0.0","0.0","4420"
"Kyle Twomey","Athletics","0","0","5.46","0","0","0","1.0","1","1","0","1","0","1.56","6.30","4.34","5.58","0.0","0.0","sa657948"
"Jackson Tetreault","Nationals","0","0","5.51","0","0","0","1.0","1","1","0","1","0","1.54","6.38","4.03","5.58","0.0","0.0","sa3004662"
"Jake Newberry","Royals","1","1","4.74","0","28","0","33.0","34","17","8","27","10","1.35","7.47","2.77","5.59","-0.4","0.0","15136"
"Yorman Landa","","0","0","5.44","0","1","0","1.0","1","1","0","1","1","1.70","7.14","5.95","5.59","0.0","0.0","sa597276"
"Melvin Jimenez","Dodgers","0","0","5.31","0","1","0","1.0","1","1","0","1","1","1.60","8.08","5.64","5.59","0.0","0.0","sa917739"
"Nick Howard","Reds","0","0","5.43","0","1","0","1.0","1","1","0","1","1","1.69","7.92","6.16","5.59","0.0","0.0","sa827196"
"Jordan Guerrero","Padres","0","0","5.42","0","1","0","1.0","1","1","0","1","1","1.70","7.64","6.14","5.59","0.0","0.0","sa875153"
